timestamp_utc,dataset,algorithm,k,case_label,partition_file,node_index_file,mapping_total,mapping_matched,mapping_coverage,assigned_nodes,total_edges_db,assigned_edges,cross_partition_edges,cross_partition_edge_ratio,k_detected,min_block,max_block,partition_balance,query_files,query_exec_time_sec,query_avg_ms,query_p50_ms,query_p95_ms,query_std_ms,dataset_load_time_sec,dataset_loaded_nodes,dataset_loaded_rels
2026-03-25T20:03:22.666642+00:00,fib25_neo4j_inputs,parmetis,6,parmetis_fib25_neo4j_inputs_k6,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/parmetis_fib25_neo4j_inputs_k6/parmetis_partition_k6.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/parmetis_fib25_neo4j_inputs_k6/node_index.tsv,1151506,10000,0.008684,10000,10000,10000,7238,0.7238,6,240,3187,1.9122,10,0.171705,11.766568,10.975436,10.975436,4.292261,121.158887,10000,10000
2026-04-17T13:14:19.177417+00:00,fib25_neo4j_inputs,ptscotch,6,ptscotch_fib25_neo4j_inputs_k6,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_materialized/algorithm_outputs/ptscotch_fib25_neo4j_inputs_k6/scotch_partition_k6.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_materialized/algorithm_outputs/ptscotch_fib25_neo4j_inputs_k6/node_index.tsv,1151506,50000,0.043421,50000,103536,103536,66165,0.639053,6,3761,18286,2.19432,10,1.603119,154.953596,139.049543,139.049543,57.879028,16.282455,50000,103536
2026-03-25T20:04:16.253109+00:00,fib25_neo4j_inputs,rcp,6,rcp_fib25_neo4j_inputs_k6,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/rcp_fib25_neo4j_inputs_k6/rcp_partition_k6_comparable.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/rcp_fib25_neo4j_inputs_k6/node_index.tsv,1151506,10000,0.008684,10000,10000,10000,0,0.0,2,4,9996,1.9992,10,0.129177,9.109329,7.07854,7.07854,4.148779,121.158887,10000,10000
2026-04-17T13:14:27.533559+00:00,fib25_neo4j_inputs,scotch,6,scotch_fib25_neo4j_inputs_k6,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_materialized/algorithm_outputs/scotch_fib25_neo4j_inputs_k6/scotch_partition_k6.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_materialized/algorithm_outputs/scotch_fib25_neo4j_inputs_k6/node_index.tsv,1151506,50000,0.043421,50000,103536,103536,64836,0.626217,6,3948,17923,2.15076,10,0.2672,21.648154,23.460223,23.460223,15.148444,16.282455,50000,103536
2026-03-03T14:02:51.460211+00:00,fib25_neo4j_inputs,hash,8,hash_fib25_neo4j_inputs_k8,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_fib25_neo4j_inputs_k8/hash_partition_k8.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_fib25_neo4j_inputs_k8/node_index.tsv,1151506,9504,0.008254,9504,2359,2189,1918,0.876199,8,1142,1250,1.052189,10,0.179645,4.798803,4.460175,4.460175,0.864318,48.835845,10000,2359
2026-03-03T14:03:33.333023+00:00,fib25_neo4j_inputs,kahip_fast,8,kahip_fast_fib25_neo4j_inputs_k8,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_fib25_neo4j_inputs_k8/kahip_fast_partition_k8.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_fib25_neo4j_inputs_k8/node_index.tsv,1151506,10000,0.008684,10000,2359,2359,1382,0.585841,7,224,4341,3.0387,10,0.179981,4.549669,4.005923,4.005923,1.166168,48.835845,10000,2359
2026-03-03T14:04:17.338674+00:00,fib25_neo4j_inputs,metis,8,metis_fib25_neo4j_inputs_k8,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_fib25_neo4j_inputs_k8/metis_partition_k8.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_fib25_neo4j_inputs_k8/node_index.tsv,1151506,10000,0.008684,10000,2359,2359,1679,0.711742,8,110,3569,2.8552,10,0.189266,4.636689,4.05005,4.05005,1.287815,48.835845,10000,2359
2026-03-25T20:05:08.998480+00:00,fib25_neo4j_inputs,parmetis,8,parmetis_fib25_neo4j_inputs_k8,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/parmetis_fib25_neo4j_inputs_k8/parmetis_partition_k8.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/parmetis_fib25_neo4j_inputs_k8/node_index.tsv,1151506,10000,0.008684,10000,10000,10000,6913,0.6913,8,159,2953,2.3624,10,0.229283,15.691722,13.569798,13.569798,6.468712,121.158887,10000,10000
2026-04-17T13:14:35.232725+00:00,fib25_neo4j_inputs,ptscotch,8,ptscotch_fib25_neo4j_inputs_k8,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_materialized/algorithm_outputs/ptscotch_fib25_neo4j_inputs_k8/scotch_partition_k8.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_materialized/algorithm_outputs/ptscotch_fib25_neo4j_inputs_k8/node_index.tsv,1151506,50000,0.043421,50000,103536,103536,70750,0.683337,8,1606,11994,1.91904,10,0.242808,19.994847,13.765781,13.765781,16.056578,16.282455,50000,103536
2026-03-25T20:06:06.739541+00:00,fib25_neo4j_inputs,rcp,8,rcp_fib25_neo4j_inputs_k8,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/rcp_fib25_neo4j_inputs_k8/rcp_partition_k8_comparable.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/rcp_fib25_neo4j_inputs_k8/node_index.tsv,1151506,10000,0.008684,10000,10000,10000,0,0.0,2,4,9996,1.9992,10,0.118432,8.143084,6.67056,6.67056,2.866477,121.158887,10000,10000
2026-04-17T13:14:45.712605+00:00,fib25_neo4j_inputs,scotch,8,scotch_fib25_neo4j_inputs_k8,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_materialized/algorithm_outputs/scotch_fib25_neo4j_inputs_k8/scotch_partition_k8.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_materialized/algorithm_outputs/scotch_fib25_neo4j_inputs_k8/node_index.tsv,1151506,50000,0.043421,50000,103536,103536,71669,0.692213,8,1556,13680,2.1888,10,0.235978,19.533801,13.332393,13.332393,15.768312,16.282455,50000,103536
2026-03-03T14:42:55.630816+00:00,ldbc_inputs_1_4,hash,2,hash_ldbc_inputs_1_4_k2,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_ldbc_inputs_1_4_k2/hash_partition_k2.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_ldbc_inputs_1_4_k2/node_index.tsv,3181724,20108,0.00632,14678,78197,78197,39084,0.499815,2,7338,7340,1.000136,9,1.325534,121.956893,35.893226,35.893226,166.45685,807.468531,14678,78197
2026-03-03T14:44:53.778866+00:00,ldbc_inputs_1_4,kahip_fast,2,kahip_fast_ldbc_inputs_1_4_k2,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_ldbc_inputs_1_4_k2/kahip_fast_partition_k2.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_ldbc_inputs_1_4_k2/node_index.tsv,3181724,20108,0.00632,14678,78197,78197,26480,0.338632,2,5949,8729,1.189399,9,0.499813,41.463125,6.551398,6.551398,100.446968,807.468531,14678,78197
2026-03-03T14:46:51.115892+00:00,ldbc_inputs_1_4,metis,2,metis_ldbc_inputs_1_4_k2,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_ldbc_inputs_1_4_k2/metis_partition_k2.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_ldbc_inputs_1_4_k2/node_index.tsv,3181724,20108,0.00632,14678,78197,78197,36307,0.464302,2,6998,7680,1.046464,9,0.453047,42.886262,5.849276,5.849276,106.390534,807.468531,14678,78197
2026-03-25T20:10:05.477329+00:00,ldbc_inputs_1_4,parmetis,2,parmetis_ldbc_inputs_1_4_k2,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/parmetis_ldbc_inputs_1_4_k2/parmetis_partition_k2.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/parmetis_ldbc_inputs_1_4_k2/node_index.tsv,3191616,16121,0.005051,9837,10000,10000,3781,0.3781,2,4469,5368,1.09139,9,1.607365,161.135994,135.999312,135.999312,104.200274,149.022001,9837,10000
