:START_ID(Project),:END_ID(Publication)
101039436,101039436_37006_PUBLIHORIZON
101039436,101039436_37007_PUBLIHORIZON
101039436,101039436_37008_PUBLIHORIZON
101039436,101039436_37009_PUBLIHORIZON
101039436,101039436_37010_PUBLIHORIZON
101039436,101039436_37011_PUBLIHORIZON
101039436,101039436_37012_PUBLIHORIZON
101039436,101039436_37013_PUBLIHORIZON
101039438,101039438_73223_PUBLIHORIZON
101039438,101039438_73224_PUBLIHORIZON
101039438,101039438_73226_PUBLIHORIZON
101039438,101039438_73227_PUBLIHORIZON
101039438,101039438_73229_PUBLIHORIZON
101039438,101039438_73230_PUBLIHORIZON
101039446,101039446_79279_PUBLIHORIZON
101039446,101039446_79280_PUBLIHORIZON
101039446,101039446_79281_PUBLIHORIZON
101039447,101039447_71525_PUBLIHORIZON
101039447,101039447_72739_PUBLIHORIZON
101039447,101039447_72740_PUBLIHORIZON
101039447,101039447_72741_PUBLIHORIZON
101039452,101039452_37191_PUBLIHORIZON
101039452,101039452_37192_PUBLIHORIZON
101039452,101039452_37193_PUBLIHORIZON
101039452,101039452_37196_PUBLIHORIZON
101039452,101039452_37197_PUBLIHORIZON
101039452,101039452_37199_PUBLIHORIZON
101039452,101039452_37201_PUBLIHORIZON
101039452,101039452_37203_PUBLIHORIZON
101039452,101039452_37204_PUBLIHORIZON
101039452,101039452_37205_PUBLIHORIZON
101039452,101039452_37265_PUBLIHORIZON
101039452,101039452_37266_PUBLIHORIZON
101039452,101039452_37267_PUBLIHORIZON
101039452,101039452_37268_PUBLIHORIZON
101039452,101039452_37269_PUBLIHORIZON
101039452,101039452_37270_PUBLIHORIZON
101039452,101039452_37271_PUBLIHORIZON
101039452,101039452_37272_PUBLIHORIZON
101039452,101039452_37273_PUBLIHORIZON
101039452,101039452_37274_PUBLIHORIZON
101039452,101039452_37275_PUBLIHORIZON
101039452,101039452_37276_PUBLIHORIZON
101039452,101039452_37284_PUBLIHORIZON
101039452,101039452_37285_PUBLIHORIZON
101039452,101039452_37286_PUBLIHORIZON
101039452,101039452_37287_PUBLIHORIZON
101039452,101039452_37288_PUBLIHORIZON
101039452,101039452_37289_PUBLIHORIZON
101039452,101039452_37366_PUBLIHORIZON
101039452,101039452_37367_PUBLIHORIZON
101039452,101039452_37368_PUBLIHORIZON
101039452,101039452_37369_PUBLIHORIZON
101039452,101039452_37371_PUBLIHORIZON
101039452,101039452_37373_PUBLIHORIZON
101039452,101039452_37375_PUBLIHORIZON
101039452,101039452_37383_PUBLIHORIZON
101039452,101039452_37384_PUBLIHORIZON
101039452,101039452_37386_PUBLIHORIZON
101039452,101039452_37395_PUBLIHORIZON
101039452,101039452_37396_PUBLIHORIZON
101039452,101039452_37397_PUBLIHORIZON
101039452,101039452_37457_PUBLIHORIZON
101039452,101039452_37458_PUBLIHORIZON
101039452,101039452_37459_PUBLIHORIZON
101039452,101039452_37464_PUBLIHORIZON
101039455,101039455_156150_PUBLIHORIZON
101039455,101039455_69393_PUBLIHORIZON
101039455,101039455_69394_PUBLIHORIZON
101039455,101039455_69396_PUBLIHORIZON
101039455,101039455_69397_PUBLIHORIZON
101039467,101039467_115465_PUBLIHORIZON
101039467,101039467_115469_PUBLIHORIZON
101039467,101039467_115517_PUBLIHORIZON
101039467,101039467_115520_PUBLIHORIZON
101039467,101039467_115521_PUBLIHORIZON
101039467,101039467_115522_PUBLIHORIZON
101039467,101039467_115524_PUBLIHORIZON
101039481,101039481_262531_PUBLIHORIZON
101039481,101039481_262532_PUBLIHORIZON
101039481,101039481_262533_PUBLIHORIZON
101039481,101039481_73161_PUBLIHORIZON
101039493,101039493_45519_PUBLIHORIZON
101039500,101039500_65366_PUBLIHORIZON
101039500,101039500_65367_PUBLIHORIZON
101039500,101039500_65368_PUBLIHORIZON
101039500,101039500_65369_PUBLIHORIZON
101039501,101039501_172001_PUBLIHORIZON
101039501,101039501_172002_PUBLIHORIZON
101039501,101039501_172004_PUBLIHORIZON
101039501,101039501_172006_PUBLIHORIZON
101039522,101039522_127086_PUBLIHORIZON
101039522,101039522_127087_PUBLIHORIZON
101039522,101039522_127088_PUBLIHORIZON
101039522,101039522_202790_PUBLIHORIZON
101039522,101039522_202791_PUBLIHORIZON
101039522,101039522_202796_PUBLIHORIZON
101039522,101039522_202797_PUBLIHORIZON
101039524,101039524_116315_PUBLIHORIZON
101039524,101039524_116316_PUBLIHORIZON
101039524,101039524_116317_PUBLIHORIZON
101039524,101039524_116318_PUBLIHORIZON
101039524,101039524_116319_PUBLIHORIZON
101039524,101039524_116320_PUBLIHORIZON
101039524,101039524_116321_PUBLIHORIZON
101039524,101039524_116322_PUBLIHORIZON
101039524,101039524_116323_PUBLIHORIZON
101039524,101039524_45614_PUBLIHORIZON
101039524,101039524_45615_PUBLIHORIZON
101039524,101039524_45616_PUBLIHORIZON
101039524,101039524_45617_PUBLIHORIZON
101039524,101039524_45619_PUBLIHORIZON
101039524,101039524_45620_PUBLIHORIZON
101039524,101039524_45623_PUBLIHORIZON
101039532,101039532_283458_PUBLIHORIZON
101039538,101039538_100315_PUBLIHORIZON
101039538,101039538_100316_PUBLIHORIZON
101039538,101039538_100335_PUBLIHORIZON
101039541,101039541_157612_PUBLIHORIZON
101039541,101039541_157613_PUBLIHORIZON
101039541,101039541_31453_PUBLIHORIZON
101039541,101039541_68742_PUBLIHORIZON
101039541,101039541_68743_PUBLIHORIZON
101039545,101039545_106041_PUBLIHORIZON
101039545,101039545_106042_PUBLIHORIZON
101039556,101039556_128627_PUBLIHORIZON
101039556,101039556_53472_PUBLIHORIZON
101039556,101039556_53473_PUBLIHORIZON
101039556,101039556_53474_PUBLIHORIZON
101039567,101039567_111501_PUBLIHORIZON
101039567,101039567_111502_PUBLIHORIZON
101039567,101039567_140201_PUBLIHORIZON
101039567,101039567_163591_PUBLIHORIZON
101039567,101039567_48291_PUBLIHORIZON
101039567,101039567_55966_PUBLIHORIZON
101039567,101039567_68206_PUBLIHORIZON
101039567,101039567_68207_PUBLIHORIZON
101039567,101039567_68208_PUBLIHORIZON
101039567,101039567_7374_PUBLIHORIZON
101039567,101039567_75992_PUBLIHORIZON
101039567,101039567_75993_PUBLIHORIZON
101039567,101039567_75994_PUBLIHORIZON
101039567,101039567_9921_PUBLIHORIZON
101039572,101039572_74085_PUBLIHORIZON
101039572,101039572_74086_PUBLIHORIZON
101039572,101039572_74087_PUBLIHORIZON
101039572,101039572_8531_PUBLIHORIZON
101039576,101039576_70046_PUBLIHORIZON
101039576,101039576_70047_PUBLIHORIZON
101039576,101039576_70048_PUBLIHORIZON
101039578,101039578_145943_PUBLIHORIZON
101039578,101039578_145944_PUBLIHORIZON
101039578,101039578_145945_PUBLIHORIZON
101039578,101039578_220588_PUBLIHORIZON
101039578,101039578_220589_PUBLIHORIZON
101039578,101039578_220590_PUBLIHORIZON
101039578,101039578_220592_PUBLIHORIZON
101039578,101039578_39522_PUBLIHORIZON
101039578,101039578_39523_PUBLIHORIZON
101039578,101039578_39524_PUBLIHORIZON
101039578,101039578_39525_PUBLIHORIZON
101039583,101039583_116943_PUBLIHORIZON
101039583,101039583_116944_PUBLIHORIZON
101039583,101039583_116945_PUBLIHORIZON
101039588,101039588_56106_PUBLIHORIZON
101039588,101039588_56107_PUBLIHORIZON
101039592,101039592_83763_PUBLIHORIZON
101039636,101039636_106284_PUBLIHORIZON
101039636,101039636_39748_PUBLIHORIZON
101039636,101039636_39749_PUBLIHORIZON
101039636,101039636_39750_PUBLIHORIZON
101039636,101039636_39751_PUBLIHORIZON
101039636,101039636_39752_PUBLIHORIZON
101039636,101039636_39759_PUBLIHORIZON
101039636,101039636_39761_PUBLIHORIZON
101039636,101039636_61346_PUBLIHORIZON
101039648,101039648_201216_PUBLIHORIZON
101039648,101039648_25532_PUBLIHORIZON
101039648,101039648_25540_PUBLIHORIZON
101039648,101039648_25541_PUBLIHORIZON
101039648,101039648_26585_PUBLIHORIZON
101039648,101039648_81898_PUBLIHORIZON
101039651,101039651_1921_PUBLIHORIZON
101039651,101039651_1922_PUBLIHORIZON
101039651,101039651_1923_PUBLIHORIZON
101039651,101039651_93370_PUBLIHORIZON
