deliverable_id:ID(Deliverable),title,deliverableType
101042514_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042537_1_DELIVHORIZON,Data management plan,"Documents, reports"
101042574_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042585_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042610_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042612_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042625_1_DELIVHORIZON,Data Management Plan (DMP),Data Management Plan
101042662_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101042672_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042680_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042699_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101042702_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042707_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101042855_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042878_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101042882_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101042884_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043003_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043068_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043071_1_DELIVHORIZON,Data management Plan,"Documents, reports"
101043083_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043119_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043198_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043214_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043229_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043231_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043235_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043238_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043243_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043268_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043288_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043314_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043372_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043381_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043382_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043387_1_DELIVHORIZON,DMP,Data Management Plan
101043428_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043433_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043451_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043467_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043471_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043486_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
